match_id,duration,first_blood_time,game_mode,dire_score,radiant_score,radiant_win,start_time,region,patch,throw,comeback,replay_url,player_slot,ability_upgrades_arr,assists,backpack_0,backpack_1,backpack_2,deaths,denies,gold,gold_spent,hero_damage,hero_healing,hero_id,item_0,item_1,item_2,item_3,item_4,item_5,item_neutral,kills,last_hits,level,net_worth,permanent_buffs,tower_damage,isRadiant,total_gold,total_xp,kda,rank_tier,gold_per_min,xp_per_min,kills_per_min,last_hits_per_min,hero_damage_per_min,hero_healing_per_min,tower_damage,list_of_picks
6578930509,1882,240,22,15,27,True,1653065086,5,50,,,http://replay151.valve.net/570/6578930509_1514777387.dem.bz2,1,"[5595, 5596, 5595, 5597, 5595, 5598, 5595, 5596, 5596, 880, 5596, 5598, 5597, 5597, 463, 5597, 5598, 7395]",9,0,0,0,2,8,824,16965,17614,2501,104,50,116,600,127,73,73,358,8,180,21,16384,"[{'permanent_buff': 5, 'stack_count': 120}]",4856,True,16655,21109,5,54,"{'raw': 531, 'pct': 0.7701040681173131}","{'raw': 673, 'pct': 0.6168401135288553}","{'raw': 0.25504782146652494, 'pct': 0.6944181646168401}","{'raw': 5.738575982996812, 'pct': 0.826868495742668}","{'raw': 561.5515409139214, 'pct': 0.45695364238410596}","{'raw': 79.73432518597238, 'pct': 0.759697256385998}","{'raw': 4856, 'pct': 0.6367076631977294}","[{'hero_id': 13, 'team': 1, 'order': 0}, {'hero_id': 9, 'team': 0, 'order': 1}, {'hero_id': 30, 'team': 0, 'order': 2}, {'hero_id': 26, 'team': 1, 'order': 3}, {'hero_id': 104, 'team': 0, 'order': 4}, {'hero_id': 67, 'team': 0, 'order': 5}, {'hero_id': 19, 'team': 1, 'order': 6}, {'hero_id': 84, 'team': 1, 'order': 7}, {'hero_id': 76, 'team': 1, 'order': 8}, {'hero_id': 74, 'team': 0, 'order': 9}]"
6578856352,2062,347,22,13,38,True,1653062219,5,50,,,http://replay156.valve.net/570/6578856352_1427788415.dem.bz2,4,"[5355, 5353, 5355, 5353, 5355, 5356, 5355, 5353, 7301, 5931, 5353, 5356, 7301, 7301, 5940, 7301, 5356, 830, 6543]",17,0,0,0,0,12,4206,20520,16903,0,71,50,116,154,152,108,73,574,9,286,25,21661,[],6115,True,22338,29383,26,54,"{'raw': 650, 'pct': 0.9883720930232558}","{'raw': 855, 'pct': 0.9935400516795866}","{'raw': 0.2618816682832202, 'pct': 0.8837209302325582}","{'raw': 8.322017458777886, 'pct': 0.9961240310077519}","{'raw': 491.8428709990301, 'pct': 0.6937984496124031}","{'raw': 0, 'pct': 0.7144702842377261}","{'raw': 6115, 'pct': 0.9909560723514211}","[{'hero_id': 86, 'team': 1, 'order': 1}, {'hero_id': 71, 'team': 0, 'order': 2}, {'hero_id': 45, 'team': 0, 'order': 3}, {'hero_id': 108, 'team': 1, 'order': 4}, {'hero_id': 105, 'team': 1, 'order': 6}, {'hero_id': 21, 'team': 0, 'order': 7}, {'hero_id': 70, 'team': 0, 'order': 8}, {'hero_id': 43, 'team': 1, 'order': 9}, {'hero_id': 48, 'team': 1, 'order': 10}, {'hero_id': 126, 'team': 0, 'order': 11}]"
6577202742,3564,180,22,48,48,True,1652967128,5,50,,,http://replay156.valve.net/570/6577202742_707822042.dem.bz2,1,"[6495, 6582, 6495, 6583, 6495, 6598, 6495, 6583, 6583, 843, 6583, 6598, 6582, 6582, 545, 6582, 6598, 884, 6756, 883, 6759, 6584, 6766]",26,0,0,0,11,10,7868,32665,56901,0,129,48,116,600,168,110,112,638,9,502,30,34843,[],4544,True,40095,46450,2,54,"{'raw': 675, 'pct': 0.9862637362637363}","{'raw': 782, 'pct': 0.9271978021978022}","{'raw': 0.15151515151515152, 'pct': 0.4732142857142857}","{'raw': 8.451178451178452, 'pct': 0.9896978021978022}","{'raw': 957.929292929293, 'pct': 0.9752747252747253}","{'raw': 0, 'pct': 0.9010989010989011}","{'raw': 4544, 'pct': 0.8997252747252747}","[{'hero_id': 43, 'team': 1, 'order': 0}, {'hero_id': 129, 'team': 0, 'order': 1}, {'hero_id': 84, 'team': 0, 'order': 2}, {'hero_id': 97, 'team': 1, 'order': 3}, {'hero_id': 8, 'team': 1, 'order': 4}, {'hero_id': 14, 'team': 0, 'order': 5}, {'hero_id': 56, 'team': 0, 'order': 6}, {'hero_id': 111, 'team': 1, 'order': 7}, {'hero_id': 75, 'team': 1, 'order': 8}, {'hero_id': 126, 'team': 0, 'order': 9}]"
6577138473,2001,94,22,34,27,False,1652964701,5,50,,,http://replay153.valve.net/570/6577138473_1241824705.dem.bz2,1,"[6495, 6582, 6495, 6583, 6495, 6598, 6495, 6583, 6583, 883, 6583, 6598, 6582, 6582, 545, 6582, 6598, 884]",16,0,0,0,5,20,2704,11550,16905,0,129,50,178,1,210,73,73,289,1,198,20,11814,[],160,True,13806,19042,2,54,"{'raw': 414, 'pct': 0.3866758241758242}","{'raw': 571, 'pct': 0.39972527472527475}","{'raw': 0.029985007496251874, 'pct': 0.03708791208791209}","{'raw': 5.937031484257871, 'pct': 0.8564560439560439}","{'raw': 506.89655172413796, 'pct': 0.4574175824175824}","{'raw': 0, 'pct': 0.9010989010989011}","{'raw': 160, 'pct': 0.19642857142857142}","[{'hero_id': 27, 'team': 1, 'order': 0}, {'hero_id': 136, 'team': 1, 'order': 1}, {'hero_id': 101, 'team': 0, 'order': 2}, {'hero_id': 30, 'team': 0, 'order': 3}, {'hero_id': 94, 'team': 1, 'order': 4}, {'hero_id': 28, 'team': 1, 'order': 5}, {'hero_id': 12, 'team': 0, 'order': 6}, {'hero_id': 129, 'team': 0, 'order': 7}, {'hero_id': 18, 'team': 1, 'order': 8}, {'hero_id': 76, 'team': 0, 'order': 9}]"
6574469887,2427,419,22,46,19,False,1652797205,5,50,,,http://replay153.valve.net/570/6574469887_1581380610.dem.bz2,1,"[6495, 6582, 6495, 6583, 6495, 6598, 6495, 6583, 6583, 843, 6583, 6598, 6582, 6582, 545, 6582, 6598, 6584]",14,0,0,0,9,8,1888,11940,18810,0,129,50,178,1,151,116,36,381,3,244,21,13438,[],475,True,17514,21438,1,54,"{'raw': 433, 'pct': 0.4684065934065934}","{'raw': 530, 'pct': 0.3118131868131868}","{'raw': 0.07416563658838071, 'pct': 0.1620879120879121}","{'raw': 6.032138442521632, 'pct': 0.8695054945054945}","{'raw': 465.0185414091471, 'pct': 0.36126373626373626}","{'raw': 0, 'pct': 0.9010989010989011}","{'raw': 475, 'pct': 0.33104395604395603}","[{'hero_id': 21, 'team': 0, 'order': 0}, {'hero_id': 30, 'team': 1, 'order': 1}, {'hero_id': 2, 'team': 1, 'order': 2}, {'hero_id': 86, 'team': 0, 'order': 3}, {'hero_id': 56, 'team': 0, 'order': 4}, {'hero_id': 84, 'team': 1, 'order': 5}, {'hero_id': 106, 'team': 1, 'order': 6}, {'hero_id': 129, 'team': 0, 'order': 7}, {'hero_id': 35, 'team': 0, 'order': 8}, {'hero_id': 8, 'team': 1, 'order': 9}]"
6574388957,2602,0,22,68,35,False,1652794322,5,50,,,http://replay153.valve.net/570/6574388957_20310309.dem.bz2,4,"[5595, 5596, 5595, 5597, 5595, 5598, 5595, 5596, 5596, 880, 5596, 5598, 5597, 5597, 6671, 5597, 5598, 7395]",14,0,0,0,13,3,2087,14265,35211,1971,104,50,127,1,151,116,6,326,7,215,24,15562,"[{'permanent_buff': 5, 'stack_count': 200}]",166,True,19211,26236,1,54,"{'raw': 443, 'pct': 0.4522232734153264}","{'raw': 605, 'pct': 0.43330179754020814}","{'raw': 0.16141429669485013, 'pct': 0.4153263954588458}","{'raw': 4.9577248270561105, 'pct': 0.6508987701040682}","{'raw': 811.9369715603382, 'pct': 0.8107852412488175}","{'raw': 45.44965411222137, 'pct': 0.5279091769157994}","{'raw': 166, 'pct': 0.16177861873226113}","[{'hero_id': 74, 'team': 0, 'order': 0}, {'hero_id': 14, 'team': 1, 'order': 1}, {'hero_id': 27, 'team': 1, 'order': 2}, {'hero_id': 21, 'team': 0, 'order': 3}, {'hero_id': 104, 'team': 0, 'order': 4}, {'hero_id': 17, 'team': 1, 'order': 5}, {'hero_id': 47, 'team': 0, 'order': 6}, {'hero_id': 16, 'team': 1, 'order': 7}, {'hero_id': 81, 'team': 1, 'order': 8}, {'hero_id': 41, 'team': 0, 'order': 9}]"
6574326570,1963,10,22,22,40,True,1652792012,5,50,,,http://replay155.valve.net/570/6574326570_2131805033.dem.bz2,1,"[5353, 5355, 5355, 5353, 5355, 5356, 5355, 7301, 5353, 5931, 5353, 5356, 7301, 7301, 5940, 7301, 5356, 830]",20,40,0,0,4,12,1767,16920,19684,0,71,50,267,30,116,73,108,358,12,167,24,17482,"[{'permanent_buff': 12, 'stack_count': 0}]",1237,True,18223,27252,6,54,"{'raw': 557, 'pct': 0.9392764857881137}","{'raw': 833, 'pct': 0.9909560723514211}","{'raw': 0.36678553234844624, 'pct': 0.975452196382429}","{'raw': 5.104431991849211, 'pct': 0.9031007751937985}","{'raw': 601.6505348955681, 'pct': 0.8501291989664083}","{'raw': 0, 'pct': 0.7144702842377261}","{'raw': 1237, 'pct': 0.7183462532299741}","[{'hero_id': 84, 'team': 0, 'order': 0}, {'hero_id': 5, 'team': 1, 'order': 2}, {'hero_id': 27, 'team': 1, 'order': 3}, {'hero_id': 19, 'team': 0, 'order': 4}, {'hero_id': 126, 'team': 0, 'order': 5}, {'hero_id': 46, 'team': 1, 'order': 6}, {'hero_id': 108, 'team': 1, 'order': 7}, {'hero_id': 71, 'team': 0, 'order': 8}, {'hero_id': 86, 'team': 0, 'order': 9}, {'hero_id': 63, 'team': 1, 'order': 10}]"
6573030678,2565,0,22,37,36,False,1652709549,5,50,,3184,http://replay156.valve.net/570/6573030678_1849359502.dem.bz2,3,"[6495, 6583, 6495, 6583, 6495, 6598, 6495, 6583, 6583, 843, 6582, 6598, 6582, 6582, 545, 6582, 6598, 6584, 6756]",15,0,0,0,5,9,1326,20025,32438,0,129,50,178,600,116,110,73,574,14,261,25,19981,"[{'permanent_buff': 6, 'stack_count': 1}]",665,True,21674,30010,4,54,"{'raw': 507, 'pct': 0.7671703296703297}","{'raw': 702, 'pct': 0.7637362637362637}","{'raw': 0.3274853801169591, 'pct': 0.915521978021978}","{'raw': 6.105263157894736, 'pct': 0.8756868131868132}","{'raw': 758.7836257309941, 'pct': 0.8811813186813187}","{'raw': 0, 'pct': 0.9010989010989011}","{'raw': 665, 'pct': 0.4024725274725275}","[{'hero_id': 129, 'team': 0, 'order': 0}, {'hero_id': 86, 'team': 1, 'order': 1}, {'hero_id': 74, 'team': 1, 'order': 2}, {'hero_id': 75, 'team': 0, 'order': 3}, {'hero_id': 8, 'team': 1, 'order': 4}, {'hero_id': 13, 'team': 0, 'order': 5}, {'hero_id': 121, 'team': 1, 'order': 6}, {'hero_id': 9, 'team': 0, 'order': 7}, {'hero_id': 97, 'team': 1, 'order': 8}, {'hero_id': 12, 'team': 0, 'order': 9}]"
6572964176,1979,0,22,41,15,False,1652707052,5,50,,-316,http://replay154.valve.net/570/6572964176_1111049344.dem.bz2,128,"[6495, 6582, 6583, 6495, 6495, 6598, 6495, 6583, 6583, 843, 6583, 6598, 6582, 6582, 6759, 6582, 6598, 884]",15,0,0,0,2,12,3241,14580,20569,0,129,50,178,600,116,11,36,574,10,176,22,17041,[],2740,False,17316,22329,8,54,"{'raw': 525, 'pct': 0.820054945054945}","{'raw': 677, 'pct': 0.6929945054945055}","{'raw': 0.3031834259727135, 'pct': 0.8962912087912088}","{'raw': 5.336028297119758, 'pct': 0.7596153846153846}","{'raw': 623.6179888832744, 'pct': 0.7074175824175825}","{'raw': 0, 'pct': 0.9010989010989011}","{'raw': 2740, 'pct': 0.7438186813186813}","[{'hero_id': 129, 'team': 1, 'order': 0}, {'hero_id': 123, 'team': 1, 'order': 1}, {'hero_id': 86, 'team': 0, 'order': 2}, {'hero_id': 71, 'team': 0, 'order': 3}, {'hero_id': 80, 'team': 0, 'order': 4}, {'hero_id': 65, 'team': 0, 'order': 5}, {'hero_id': 83, 'team': 1, 'order': 6}, {'hero_id': 81, 'team': 1, 'order': 7}, {'hero_id': 6, 'team': 0, 'order': 8}, {'hero_id': 100, 'team': 1, 'order': 9}]"
6572895461,2454,86,22,44,34,False,1652704277,5,50,,,,0,"[5355, 5353, 5355, 5353, 5355, 5356, 5355, 7301, 5353, 7022, 5353, 5356, 7301, 7301, 5940, 7301, 5356, 830]",15,0,0,0,6,16,520,15860,14628,0,71,50,92,210,116,244,108,355,5,210,23,15150,,39,True,17505,24785,2,54,"{'raw': 428, 'pct': 0.7080103359173127}","{'raw': 606, 'pct': 0.6175710594315246}","{'raw': 0.12224938875305623, 'pct': 0.479328165374677}","{'raw': 5.134474327628363, 'pct': 0.9043927648578811}","{'raw': 357.6528117359413, 'pct': 0.37209302325581395}","{'raw': 0, 'pct': 0.7144702842377261}","{'raw': 39, 'pct': 0.268733850129199}","[{'hero_id': 105, 'team': 1, 'order': 0}, {'hero_id': 90, 'team': 1, 'order': 1}, {'hero_id': 25, 'team': 0, 'order': 2}, {'hero_id': 86, 'team': 0, 'order': 3}, {'hero_id': 8, 'team': 0, 'order': 4}, {'hero_id': 9, 'team': 1, 'order': 5}, {'hero_id': 100, 'team': 1, 'order': 6}, {'hero_id': 71, 'team': 0, 'order': 7}, {'hero_id': 70, 'team': 1, 'order': 8}, {'hero_id': 106, 'team': 0, 'order': 9}]"
6572839463,2006,47,22,32,44,True,1652701772,5,50,1226,,http://replay152.valve.net/570/6572839463_467689603.dem.bz2,132,"[5595, 5596, 5595, 5596, 5595, 5598, 5595, 5596, 5596, 880, 5597, 5598, 5597, 5597, 463, 5597]",16,0,0,0,9,9,685,10670,15269,2007,104,50,116,1,127,11,36,573,3,140,17,11235,"[{'permanent_buff': 5, 'stack_count': 80}]",538,False,12136,14844,1,54,"{'raw': 363, 'pct': 0.19205298013245034}","{'raw': 444, 'pct': 0.13434247871333965}","{'raw': 0.0897308075772682, 'pct': 0.1892147587511826}","{'raw': 4.187437686939182, 'pct': 0.4219489120151372}","{'raw': 456.6999002991027, 'pct': 0.2980132450331126}","{'raw': 60.02991026919243, 'pct': 0.6319772942289499}","{'raw': 538, 'pct': 0.26773888363292336}","[{'hero_id': 74, 'team': 0, 'order': 0}, {'hero_id': 14, 'team': 0, 'order': 1}, {'hero_id': 50, 'team': 1, 'order': 2}, {'hero_id': 104, 'team': 1, 'order': 3}, {'hero_id': 5, 'team': 0, 'order': 4}, {'hero_id': 2, 'team': 0, 'order': 5}, {'hero_id': 84, 'team': 1, 'order': 6}, {'hero_id': 48, 'team': 1, 'order': 7}, {'hero_id': 94, 'team': 0, 'order': 8}, {'hero_id': 106, 'team': 1, 'order': 9}]"
