radiant,match_id,duration,first_blood_time,game_mode,dire_score,radiant_score,radiant_win,start_time,region,patch,throw,comeback,replay_url,picks_bans
FALSE,6582379623,2021,193,2,37,4,FALSE,1653242352,8,50,,79,http://replay181.valve.net/570/6582379623_462809478.dem.bz2,"[{'is_pick': False, 'hero_id': 98, 'team': 0, 'order': 0, 'ord': 0, 'match_id': 6582379623}, {'is_pick': False, 'hero_id': 81, 'team': 1, 'order': 1, 'ord': 1, 'match_id': 6582379623}, {'is_pick': False, 'hero_id': 15, 'team': 0, 'order': 2, 'ord': 2, 'match_id': 6582379623}, {'is_pick': False, 'hero_id': 33, 'team': 1, 'order': 3, 'ord': 3, 'match_id': 6582379623}, {'is_pick': True, 'hero_id': 128, 'team': 0, 'order': 4, 'ord': 4, 'match_id': 6582379623}, {'is_pick': True, 'hero_id': 17, 'team': 1, 'order': 5, 'ord': 5, 'match_id': 6582379623}, {'is_pick': True, 'hero_id': 21, 'team': 1, 'order': 6, 'ord': 6, 'match_id': 6582379623}, {'is_pick': True, 'hero_id': 49, 'team': 0, 'order': 7, 'ord': 7, 'match_id': 6582379623}, {'is_pick': False, 'hero_id': 47, 'team': 0, 'order': 8, 'ord': 8, 'match_id': 6582379623}, {'is_pick': False, 'hero_id': 45, 'team': 1, 'order': 9, 'ord': 9, 'match_id': 6582379623}, {'is_pick': False, 'hero_id': 108, 'team': 0, 'order': 10, 'ord': 10, 'match_id': 6582379623}, {'is_pick': False, 'hero_id': 43, 'team': 1, 'order': 11, 'ord': 11, 'match_id': 6582379623}, {'is_pick': False, 'hero_id': 114, 'team': 0, 'order': 12, 'ord': 12, 'match_id': 6582379623}, {'is_pick': False, 'hero_id': 58, 'team': 1, 'order': 13, 'ord': 13, 'match_id': 6582379623}, {'is_pick': True, 'hero_id': 121, 'team': 1, 'order': 14, 'ord': 14, 'match_id': 6582379623}, {'is_pick': True, 'hero_id': 52, 'team': 0, 'order': 15, 'ord': 15, 'match_id': 6582379623}, {'is_pick': True, 'hero_id': 42, 'team': 0, 'order': 16, 'ord': 16, 'match_id': 6582379623}, {'is_pick': True, 'hero_id': 129, 'team': 1, 'order': 17, 'ord': 17, 'match_id': 6582379623}, {'is_pick': False, 'hero_id': 109, 'team': 0, 'order': 18, 'ord': 18, 'match_id': 6582379623}, {'is_pick': False, 'hero_id': 60, 'team': 1, 'order': 19, 'ord': 19, 'match_id': 6582379623}, {'is_pick': False, 'hero_id': 94, 'team': 0, 'order': 20, 'ord': 20, 'match_id': 6582379623}, {'is_pick': False, 'hero_id': 91, 'team': 1, 'order': 21, 'ord': 21, 'match_id': 6582379623}, {'is_pick': True, 'hero_id': 75, 'team': 0, 'order': 22, 'ord': 22, 'match_id': 6582379623}, {'is_pick': True, 'hero_id': 4, 'team': 1, 'order': 23, 'ord': 23, 'match_id': 6582379623}]"
FALSE,6582249405,2518,176,2,31,27,FALSE,1653236770,8,50,,3664,http://replay181.valve.net/570/6582249405_1866290284.dem.bz2,"[{'is_pick': False, 'hero_id': 98, 'team': 0, 'order': 0, 'ord': 0, 'match_id': 6582249405}, {'is_pick': False, 'hero_id': 81, 'team': 1, 'order': 1, 'ord': 1, 'match_id': 6582249405}, {'is_pick': False, 'hero_id': 15, 'team': 0, 'order': 2, 'ord': 2, 'match_id': 6582249405}, {'is_pick': False, 'hero_id': 33, 'team': 1, 'order': 3, 'ord': 3, 'match_id': 6582249405}, {'is_pick': True, 'hero_id': 45, 'team': 0, 'order': 4, 'ord': 4, 'match_id': 6582249405}, {'is_pick': True, 'hero_id': 128, 'team': 1, 'order': 5, 'ord': 5, 'match_id': 6582249405}, {'is_pick': True, 'hero_id': 49, 'team': 1, 'order': 6, 'ord': 6, 'match_id': 6582249405}, {'is_pick': True, 'hero_id': 114, 'team': 0, 'order': 7, 'ord': 7, 'match_id': 6582249405}, {'is_pick': False, 'hero_id': 47, 'team': 0, 'order': 8, 'ord': 8, 'match_id': 6582249405}, {'is_pick': False, 'hero_id': 69, 'team': 1, 'order': 9, 'ord': 9, 'match_id': 6582249405}, {'is_pick': False, 'hero_id': 21, 'team': 0, 'order': 10, 'ord': 10, 'match_id': 6582249405}, {'is_pick': False, 'hero_id': 43, 'team': 1, 'order': 11, 'ord': 11, 'match_id': 6582249405}, {'is_pick': False, 'hero_id': 110, 'team': 0, 'order': 12, 'ord': 12, 'match_id': 6582249405}, {'is_pick': False, 'hero_id': 102, 'team': 1, 'order': 13, 'ord': 13, 'match_id': 6582249405}, {'is_pick': True, 'hero_id': 9, 'team': 1, 'order': 14, 'ord': 14, 'match_id': 6582249405}, {'is_pick': True, 'hero_id': 52, 'team': 0, 'order': 15, 'ord': 15, 'match_id': 6582249405}, {'is_pick': True, 'hero_id': 42, 'team': 0, 'order': 16, 'ord': 16, 'match_id': 6582249405}, {'is_pick': True, 'hero_id': 74, 'team': 1, 'order': 17, 'ord': 17, 'match_id': 6582249405}, {'is_pick': False, 'hero_id': 1, 'team': 0, 'order': 18, 'ord': 18, 'match_id': 6582249405}, {'is_pick': False, 'hero_id': 38, 'team': 1, 'order': 19, 'ord': 19, 'match_id': 6582249405}, {'is_pick': False, 'hero_id': 41, 'team': 0, 'order': 20, 'ord': 20, 'match_id': 6582249405}, {'is_pick': False, 'hero_id': 78, 'team': 1, 'order': 21, 'ord': 21, 'match_id': 6582249405}, {'is_pick': True, 'hero_id': 60, 'team': 0, 'order': 22, 'ord': 22, 'match_id': 6582249405}, {'is_pick': True, 'hero_id': 46, 'team': 1, 'order': 23, 'ord': 23, 'match_id': 6582249405}]"
FALSE,6582140888,2283,186,2,45,14,FALSE,1653232634,8,50,,0,http://replay185.valve.net/570/6582140888_1752998940.dem.bz2,"[{'is_pick': False, 'hero_id': 98, 'team': 0, 'order': 0, 'ord': 0, 'match_id': 6582140888}, {'is_pick': False, 'hero_id': 81, 'team': 1, 'order': 1, 'ord': 1, 'match_id': 6582140888}, {'is_pick': False, 'hero_id': 15, 'team': 0, 'order': 2, 'ord': 2, 'match_id': 6582140888}, {'is_pick': False, 'hero_id': 33, 'team': 1, 'order': 3, 'ord': 3, 'match_id': 6582140888}, {'is_pick': True, 'hero_id': 45, 'team': 0, 'order': 4, 'ord': 4, 'match_id': 6582140888}, {'is_pick': True, 'hero_id': 17, 'team': 1, 'order': 5, 'ord': 5, 'match_id': 6582140888}, {'is_pick': True, 'hero_id': 128, 'team': 1, 'order': 6, 'ord': 6, 'match_id': 6582140888}, {'is_pick': True, 'hero_id': 13, 'team': 0, 'order': 7, 'ord': 7, 'match_id': 6582140888}, {'is_pick': False, 'hero_id': 47, 'team': 0, 'order': 8, 'ord': 8, 'match_id': 6582140888}, {'is_pick': False, 'hero_id': 27, 'team': 1, 'order': 9, 'ord': 9, 'match_id': 6582140888}, {'is_pick': False, 'hero_id': 108, 'team': 0, 'order': 10, 'ord': 10, 'match_id': 6582140888}, {'is_pick': False, 'hero_id': 42, 'team': 1, 'order': 11, 'ord': 11, 'match_id': 6582140888}, {'is_pick': False, 'hero_id': 129, 'team': 0, 'order': 12, 'ord': 12, 'match_id': 6582140888}, {'is_pick': False, 'hero_id': 94, 'team': 1, 'order': 13, 'ord': 13, 'match_id': 6582140888}, {'is_pick': True, 'hero_id': 21, 'team': 1, 'order': 14, 'ord': 14, 'match_id': 6582140888}, {'is_pick': True, 'hero_id': 53, 'team': 0, 'order': 15, 'ord': 15, 'match_id': 6582140888}, {'is_pick': True, 'hero_id': 69, 'team': 0, 'order': 16, 'ord': 16, 'match_id': 6582140888}, {'is_pick': True, 'hero_id': 60, 'team': 1, 'order': 17, 'ord': 17, 'match_id': 6582140888}, {'is_pick': False, 'hero_id': 23, 'team': 0, 'order': 18, 'ord': 18, 'match_id': 6582140888}, {'is_pick': False, 'hero_id': 38, 'team': 1, 'order': 19, 'ord': 19, 'match_id': 6582140888}, {'is_pick': False, 'hero_id': 8, 'team': 0, 'order': 20, 'ord': 20, 'match_id': 6582140888}, {'is_pick': False, 'hero_id': 43, 'team': 1, 'order': 21, 'ord': 21, 'match_id': 6582140888}, {'is_pick': True, 'hero_id': 55, 'team': 0, 'order': 22, 'ord': 22, 'match_id': 6582140888}, {'is_pick': True, 'hero_id': 114, 'team': 1, 'order': 23, 'ord': 23, 'match_id': 6582140888}]"
FALSE,6582012262,2027,259,2,9,31,TRUE,1653228130,8,50,1098,,http://replay185.valve.net/570/6582012262_611549691.dem.bz2,"[{'is_pick': False, 'hero_id': 98, 'team': 0, 'order': 0, 'ord': 0, 'match_id': 6582012262}, {'is_pick': False, 'hero_id': 81, 'team': 1, 'order': 1, 'ord': 1, 'match_id': 6582012262}, {'is_pick': False, 'hero_id': 15, 'team': 0, 'order': 2, 'ord': 2, 'match_id': 6582012262}, {'is_pick': False, 'hero_id': 17, 'team': 1, 'order': 3, 'ord': 3, 'match_id': 6582012262}, {'is_pick': True, 'hero_id': 33, 'team': 0, 'order': 4, 'ord': 4, 'match_id': 6582012262}, {'is_pick': True, 'hero_id': 23, 'team': 1, 'order': 5, 'ord': 5, 'match_id': 6582012262}, {'is_pick': True, 'hero_id': 21, 'team': 1, 'order': 6, 'ord': 6, 'match_id': 6582012262}, {'is_pick': True, 'hero_id': 120, 'team': 0, 'order': 7, 'ord': 7, 'match_id': 6582012262}, {'is_pick': False, 'hero_id': 13, 'team': 0, 'order': 8, 'ord': 8, 'match_id': 6582012262}, {'is_pick': False, 'hero_id': 58, 'team': 1, 'order': 9, 'ord': 9, 'match_id': 6582012262}, {'is_pick': False, 'hero_id': 47, 'team': 0, 'order': 10, 'ord': 10, 'match_id': 6582012262}, {'is_pick': False, 'hero_id': 90, 'team': 1, 'order': 11, 'ord': 11, 'match_id': 6582012262}, {'is_pick': False, 'hero_id': 4, 'team': 0, 'order': 12, 'ord': 12, 'match_id': 6582012262}, {'is_pick': False, 'hero_id': 3, 'team': 1, 'order': 13, 'ord': 13, 'match_id': 6582012262}, {'is_pick': True, 'hero_id': 86, 'team': 1, 'order': 14, 'ord': 14, 'match_id': 6582012262}, {'is_pick': True, 'hero_id': 45, 'team': 0, 'order': 15, 'ord': 15, 'match_id': 6582012262}, {'is_pick': True, 'hero_id': 42, 'team': 0, 'order': 16, 'ord': 16, 'match_id': 6582012262}, {'is_pick': True, 'hero_id': 108, 'team': 1, 'order': 17, 'ord': 17, 'match_id': 6582012262}, {'is_pick': False, 'hero_id': 74, 'team': 0, 'order': 18, 'ord': 18, 'match_id': 6582012262}, {'is_pick': False, 'hero_id': 27, 'team': 1, 'order': 19, 'ord': 19, 'match_id': 6582012262}, {'is_pick': False, 'hero_id': 65, 'team': 0, 'order': 20, 'ord': 20, 'match_id': 6582012262}, {'is_pick': False, 'hero_id': 69, 'team': 1, 'order': 21, 'ord': 21, 'match_id': 6582012262}, {'is_pick': True, 'hero_id': 43, 'team': 0, 'order': 22, 'ord': 22, 'match_id': 6582012262}, {'is_pick': True, 'hero_id': 25, 'team': 1, 'order': 23, 'ord': 23, 'match_id': 6582012262}]"
TRUE,6581700268,2110,6,2,15,33,TRUE,1653217101,8,50,1092,,http://replay185.valve.net/570/6581700268_781385448.dem.bz2,"[{'is_pick': False, 'hero_id': 38, 'team': 0, 'order': 0, 'ord': 0, 'match_id': 6581700268}, {'is_pick': False, 'hero_id': 98, 'team': 1, 'order': 1, 'ord': 1, 'match_id': 6581700268}, {'is_pick': False, 'hero_id': 92, 'team': 0, 'order': 2, 'ord': 2, 'match_id': 6581700268}, {'is_pick': False, 'hero_id': 15, 'team': 1, 'order': 3, 'ord': 3, 'match_id': 6581700268}, {'is_pick': True, 'hero_id': 81, 'team': 0, 'order': 4, 'ord': 4, 'match_id': 6581700268}, {'is_pick': True, 'hero_id': 45, 'team': 1, 'order': 5, 'ord': 5, 'match_id': 6581700268}, {'is_pick': True, 'hero_id': 120, 'team': 1, 'order': 6, 'ord': 6, 'match_id': 6581700268}, {'is_pick': True, 'hero_id': 13, 'team': 0, 'order': 7, 'ord': 7, 'match_id': 6581700268}, {'is_pick': False, 'hero_id': 77, 'team': 0, 'order': 8, 'ord': 8, 'match_id': 6581700268}, {'is_pick': False, 'hero_id': 21, 'team': 1, 'order': 9, 'ord': 9, 'match_id': 6581700268}, {'is_pick': False, 'hero_id': 19, 'team': 0, 'order': 10, 'ord': 10, 'match_id': 6581700268}, {'is_pick': False, 'hero_id': 47, 'team': 1, 'order': 11, 'ord': 11, 'match_id': 6581700268}, {'is_pick': False, 'hero_id': 94, 'team': 0, 'order': 12, 'ord': 12, 'match_id': 6581700268}, {'is_pick': False, 'hero_id': 33, 'team': 1, 'order': 13, 'ord': 13, 'match_id': 6581700268}, {'is_pick': True, 'hero_id': 69, 'team': 1, 'order': 14, 'ord': 14, 'match_id': 6581700268}, {'is_pick': True, 'hero_id': 114, 'team': 0, 'order': 15, 'ord': 15, 'match_id': 6581700268}, {'is_pick': True, 'hero_id': 91, 'team': 0, 'order': 16, 'ord': 16, 'match_id': 6581700268}, {'is_pick': True, 'hero_id': 123, 'team': 1, 'order': 17, 'ord': 17, 'match_id': 6581700268}, {'is_pick': False, 'hero_id': 89, 'team': 0, 'order': 18, 'ord': 18, 'match_id': 6581700268}, {'is_pick': False, 'hero_id': 28, 'team': 1, 'order': 19, 'ord': 19, 'match_id': 6581700268}, {'is_pick': False, 'hero_id': 54, 'team': 0, 'order': 20, 'ord': 20, 'match_id': 6581700268}, {'is_pick': False, 'hero_id': 60, 'team': 1, 'order': 21, 'ord': 21, 'match_id': 6581700268}, {'is_pick': True, 'hero_id': 4, 'team': 0, 'order': 22, 'ord': 22, 'match_id': 6581700268}, {'is_pick': True, 'hero_id': 95, 'team': 1, 'order': 23, 'ord': 23, 'match_id': 6581700268}]"
FALSE,6581622092,1648,234,2,31,12,FALSE,1653213608,8,50,,215,http://replay188.valve.net/570/6581622092_200955501.dem.bz2,"[{'is_pick': False, 'hero_id': 98, 'team': 0, 'order': 0, 'ord': 0, 'match_id': 6581622092}, {'is_pick': False, 'hero_id': 38, 'team': 1, 'order': 1, 'ord': 1, 'match_id': 6581622092}, {'is_pick': False, 'hero_id': 33, 'team': 0, 'order': 2, 'ord': 2, 'match_id': 6581622092}, {'is_pick': False, 'hero_id': 81, 'team': 1, 'order': 3, 'ord': 3, 'match_id': 6581622092}, {'is_pick': True, 'hero_id': 69, 'team': 0, 'order': 4, 'ord': 4, 'match_id': 6581622092}, {'is_pick': True, 'hero_id': 114, 'team': 1, 'order': 5, 'ord': 5, 'match_id': 6581622092}, {'is_pick': True, 'hero_id': 47, 'team': 1, 'order': 6, 'ord': 6, 'match_id': 6581622092}, {'is_pick': True, 'hero_id': 92, 'team': 0, 'order': 7, 'ord': 7, 'match_id': 6581622092}, {'is_pick': False, 'hero_id': 41, 'team': 0, 'order': 8, 'ord': 8, 'match_id': 6581622092}, {'is_pick': False, 'hero_id': 121, 'team': 1, 'order': 9, 'ord': 9, 'match_id': 6581622092}, {'is_pick': False, 'hero_id': 63, 'team': 0, 'order': 10, 'ord': 10, 'match_id': 6581622092}, {'is_pick': False, 'hero_id': 120, 'team': 1, 'order': 11, 'ord': 11, 'match_id': 6581622092}, {'is_pick': False, 'hero_id': 53, 'team': 0, 'order': 12, 'ord': 12, 'match_id': 6581622092}, {'is_pick': False, 'hero_id': 129, 'team': 1, 'order': 13, 'ord': 13, 'match_id': 6581622092}, {'is_pick': True, 'hero_id': 21, 'team': 1, 'order': 14, 'ord': 14, 'match_id': 6581622092}, {'is_pick': True, 'hero_id': 31, 'team': 0, 'order': 15, 'ord': 15, 'match_id': 6581622092}, {'is_pick': True, 'hero_id': 8, 'team': 0, 'order': 16, 'ord': 16, 'match_id': 6581622092}, {'is_pick': True, 'hero_id': 15, 'team': 1, 'order': 17, 'ord': 17, 'match_id': 6581622092}, {'is_pick': False, 'hero_id': 17, 'team': 0, 'order': 18, 'ord': 18, 'match_id': 6581622092}, {'is_pick': False, 'hero_id': 90, 'team': 1, 'order': 19, 'ord': 19, 'match_id': 6581622092}, {'is_pick': False, 'hero_id': 39, 'team': 0, 'order': 20, 'ord': 20, 'match_id': 6581622092}, {'is_pick': False, 'hero_id': 65, 'team': 1, 'order': 21, 'ord': 21, 'match_id': 6581622092}, {'is_pick': True, 'hero_id': 74, 'team': 0, 'order': 22, 'ord': 22, 'match_id': 6581622092}, {'is_pick': True, 'hero_id': 13, 'team': 1, 'order': 23, 'ord': 23, 'match_id': 6581622092}]"
TRUE,6580732041,2124,183,2,16,36,TRUE,1653158772,8,50,203,,http://replay186.valve.net/570/6580732041_1696369385.dem.bz2,"[{'is_pick': False, 'hero_id': 17, 'team': 0, 'order': 0, 'ord': 0, 'match_id': 6580732041}, {'is_pick': False, 'hero_id': 98, 'team': 1, 'order': 1, 'ord': 1, 'match_id': 6580732041}, {'is_pick': False, 'hero_id': 106, 'team': 0, 'order': 2, 'ord': 2, 'match_id': 6580732041}, {'is_pick': False, 'hero_id': 81, 'team': 1, 'order': 3, 'ord': 3, 'match_id': 6580732041}, {'is_pick': True, 'hero_id': 21, 'team': 0, 'order': 4, 'ord': 4, 'match_id': 6580732041}, {'is_pick': True, 'hero_id': 129, 'team': 1, 'order': 5, 'ord': 5, 'match_id': 6580732041}, {'is_pick': True, 'hero_id': 58, 'team': 1, 'order': 6, 'ord': 6, 'match_id': 6580732041}, {'is_pick': True, 'hero_id': 15, 'team': 0, 'order': 7, 'ord': 7, 'match_id': 6580732041}, {'is_pick': False, 'hero_id': 4, 'team': 0, 'order': 8, 'ord': 8, 'match_id': 6580732041}, {'is_pick': False, 'hero_id': 91, 'team': 1, 'order': 9, 'ord': 9, 'match_id': 6580732041}, {'is_pick': False, 'hero_id': 38, 'team': 0, 'order': 10, 'ord': 10, 'match_id': 6580732041}, {'is_pick': False, 'hero_id': 69, 'team': 1, 'order': 11, 'ord': 11, 'match_id': 6580732041}, {'is_pick': False, 'hero_id': 77, 'team': 0, 'order': 12, 'ord': 12, 'match_id': 6580732041}, {'is_pick': False, 'hero_id': 33, 'team': 1, 'order': 13, 'ord': 13, 'match_id': 6580732041}, {'is_pick': True, 'hero_id': 121, 'team': 1, 'order': 14, 'ord': 14, 'match_id': 6580732041}, {'is_pick': True, 'hero_id': 126, 'team': 0, 'order': 15, 'ord': 15, 'match_id': 6580732041}, {'is_pick': True, 'hero_id': 51, 'team': 0, 'order': 16, 'ord': 16, 'match_id': 6580732041}, {'is_pick': True, 'hero_id': 19, 'team': 1, 'order': 17, 'ord': 17, 'match_id': 6580732041}, {'is_pick': False, 'hero_id': 80, 'team': 0, 'order': 18, 'ord': 18, 'match_id': 6580732041}, {'is_pick': False, 'hero_id': 114, 'team': 1, 'order': 19, 'ord': 19, 'match_id': 6580732041}, {'is_pick': False, 'hero_id': 82, 'team': 0, 'order': 20, 'ord': 20, 'match_id': 6580732041}, {'is_pick': False, 'hero_id': 8, 'team': 1, 'order': 21, 'ord': 21, 'match_id': 6580732041}, {'is_pick': True, 'hero_id': 42, 'team': 0, 'order': 22, 'ord': 22, 'match_id': 6580732041}, {'is_pick': True, 'hero_id': 1, 'team': 1, 'order': 23, 'ord': 23, 'match_id': 6580732041}]"
FALSE,6580625364,1957,280,2,27,10,FALSE,1653155037,8,50,,603,http://replay185.valve.net/570/6580625364_1992841311.dem.bz2,"[{'is_pick': False, 'hero_id': 15, 'team': 0, 'order': 0, 'ord': 0, 'match_id': 6580625364}, {'is_pick': False, 'hero_id': 17, 'team': 1, 'order': 1, 'ord': 1, 'match_id': 6580625364}, {'is_pick': False, 'hero_id': 33, 'team': 0, 'order': 2, 'ord': 2, 'match_id': 6580625364}, {'is_pick': False, 'hero_id': 45, 'team': 1, 'order': 3, 'ord': 3, 'match_id': 6580625364}, {'is_pick': True, 'hero_id': 81, 'team': 0, 'order': 4, 'ord': 4, 'match_id': 6580625364}, {'is_pick': True, 'hero_id': 98, 'team': 1, 'order': 5, 'ord': 5, 'match_id': 6580625364}, {'is_pick': True, 'hero_id': 21, 'team': 1, 'order': 6, 'ord': 6, 'match_id': 6580625364}, {'is_pick': True, 'hero_id': 58, 'team': 0, 'order': 7, 'ord': 7, 'match_id': 6580625364}, {'is_pick': False, 'hero_id': 23, 'team': 0, 'order': 8, 'ord': 8, 'match_id': 6580625364}, {'is_pick': False, 'hero_id': 106, 'team': 1, 'order': 9, 'ord': 9, 'match_id': 6580625364}, {'is_pick': False, 'hero_id': 94, 'team': 0, 'order': 10, 'ord': 10, 'match_id': 6580625364}, {'is_pick': False, 'hero_id': 52, 'team': 1, 'order': 11, 'ord': 11, 'match_id': 6580625364}, {'is_pick': False, 'hero_id': 120, 'team': 0, 'order': 12, 'ord': 12, 'match_id': 6580625364}, {'is_pick': False, 'hero_id': 91, 'team': 1, 'order': 13, 'ord': 13, 'match_id': 6580625364}, {'is_pick': True, 'hero_id': 69, 'team': 1, 'order': 14, 'ord': 14, 'match_id': 6580625364}, {'is_pick': True, 'hero_id': 114, 'team': 0, 'order': 15, 'ord': 15, 'match_id': 6580625364}, {'is_pick': True, 'hero_id': 3, 'team': 0, 'order': 16, 'ord': 16, 'match_id': 6580625364}, {'is_pick': True, 'hero_id': 95, 'team': 1, 'order': 17, 'ord': 17, 'match_id': 6580625364}, {'is_pick': False, 'hero_id': 13, 'team': 0, 'order': 18, 'ord': 18, 'match_id': 6580625364}, {'is_pick': False, 'hero_id': 126, 'team': 1, 'order': 19, 'ord': 19, 'match_id': 6580625364}, {'is_pick': False, 'hero_id': 65, 'team': 0, 'order': 20, 'ord': 20, 'match_id': 6580625364}, {'is_pick': False, 'hero_id': 74, 'team': 1, 'order': 21, 'ord': 21, 'match_id': 6580625364}, {'is_pick': True, 'hero_id': 90, 'team': 0, 'order': 22, 'ord': 22, 'match_id': 6580625364}, {'is_pick': True, 'hero_id': 19, 'team': 1, 'order': 23, 'ord': 23, 'match_id': 6580625364}]"
FALSE,6580016442,1947,110,2,34,14,FALSE,1653131590,8,50,,138,http://replay183.valve.net/570/6580016442_2032499088.dem.bz2,"[{'is_pick': False, 'hero_id': 33, 'team': 0, 'order': 0, 'ord': 0, 'match_id': 6580016442}, {'is_pick': False, 'hero_id': 19, 'team': 1, 'order': 1, 'ord': 1, 'match_id': 6580016442}, {'is_pick': False, 'hero_id': 15, 'team': 0, 'order': 2, 'ord': 2, 'match_id': 6580016442}, {'is_pick': False, 'hero_id': 81, 'team': 1, 'order': 3, 'ord': 3, 'match_id': 6580016442}, {'is_pick': True, 'hero_id': 45, 'team': 0, 'order': 4, 'ord': 4, 'match_id': 6580016442}, {'is_pick': True, 'hero_id': 114, 'team': 1, 'order': 5, 'ord': 5, 'match_id': 6580016442}, {'is_pick': True, 'hero_id': 47, 'team': 1, 'order': 6, 'ord': 6, 'match_id': 6580016442}, {'is_pick': True, 'hero_id': 17, 'team': 0, 'order': 7, 'ord': 7, 'match_id': 6580016442}, {'is_pick': False, 'hero_id': 74, 'team': 0, 'order': 8, 'ord': 8, 'match_id': 6580016442}, {'is_pick': False, 'hero_id': 63, 'team': 1, 'order': 9, 'ord': 9, 'match_id': 6580016442}, {'is_pick': False, 'hero_id': 13, 'team': 0, 'order': 10, 'ord': 10, 'match_id': 6580016442}, {'is_pick': False, 'hero_id': 38, 'team': 1, 'order': 11, 'ord': 11, 'match_id': 6580016442}, {'is_pick': False, 'hero_id': 120, 'team': 0, 'order': 12, 'ord': 12, 'match_id': 6580016442}, {'is_pick': False, 'hero_id': 53, 'team': 1, 'order': 13, 'ord': 13, 'match_id': 6580016442}, {'is_pick': True, 'hero_id': 88, 'team': 1, 'order': 14, 'ord': 14, 'match_id': 6580016442}, {'is_pick': True, 'hero_id': 9, 'team': 0, 'order': 15, 'ord': 15, 'match_id': 6580016442}, {'is_pick': True, 'hero_id': 16, 'team': 0, 'order': 16, 'ord': 16, 'match_id': 6580016442}, {'is_pick': True, 'hero_id': 23, 'team': 1, 'order': 17, 'ord': 17, 'match_id': 6580016442}, {'is_pick': False, 'hero_id': 102, 'team': 0, 'order': 18, 'ord': 18, 'match_id': 6580016442}, {'is_pick': False, 'hero_id': 54, 'team': 1, 'order': 19, 'ord': 19, 'match_id': 6580016442}, {'is_pick': False, 'hero_id': 121, 'team': 0, 'order': 20, 'ord': 20, 'match_id': 6580016442}, {'is_pick': False, 'hero_id': 8, 'team': 1, 'order': 21, 'ord': 21, 'match_id': 6580016442}, {'is_pick': True, 'hero_id': 109, 'team': 0, 'order': 22, 'ord': 22, 'match_id': 6580016442}, {'is_pick': True, 'hero_id': 41, 'team': 1, 'order': 23, 'ord': 23, 'match_id': 6580016442}]"
TRUE,6579931950,1658,143,2,9,26,TRUE,1653127458,8,50,517,,http://replay181.valve.net/570/6579931950_1860435394.dem.bz2,"[{'is_pick': False, 'hero_id': 19, 'team': 0, 'order': 0, 'ord': 0, 'match_id': 6579931950}, {'is_pick': False, 'hero_id': 33, 'team': 1, 'order': 1, 'ord': 1, 'match_id': 6579931950}, {'is_pick': False, 'hero_id': 47, 'team': 0, 'order': 2, 'ord': 2, 'match_id': 6579931950}, {'is_pick': False, 'hero_id': 98, 'team': 1, 'order': 3, 'ord': 3, 'match_id': 6579931950}, {'is_pick': True, 'hero_id': 81, 'team': 0, 'order': 4, 'ord': 4, 'match_id': 6579931950}, {'is_pick': True, 'hero_id': 45, 'team': 1, 'order': 5, 'ord': 5, 'match_id': 6579931950}, {'is_pick': True, 'hero_id': 129, 'team': 1, 'order': 6, 'ord': 6, 'match_id': 6579931950}, {'is_pick': True, 'hero_id': 15, 'team': 0, 'order': 7, 'ord': 7, 'match_id': 6579931950}, {'is_pick': False, 'hero_id': 10, 'team': 0, 'order': 8, 'ord': 8, 'match_id': 6579931950}, {'is_pick': False, 'hero_id': 120, 'team': 1, 'order': 9, 'ord': 9, 'match_id': 6579931950}, {'is_pick': False, 'hero_id': 17, 'team': 0, 'order': 10, 'ord': 10, 'match_id': 6579931950}, {'is_pick': False, 'hero_id': 91, 'team': 1, 'order': 11, 'ord': 11, 'match_id': 6579931950}, {'is_pick': False, 'hero_id': 109, 'team': 0, 'order': 12, 'ord': 12, 'match_id': 6579931950}, {'is_pick': False, 'hero_id': 121, 'team': 1, 'order': 13, 'ord': 13, 'match_id': 6579931950}, {'is_pick': True, 'hero_id': 100, 'team': 1, 'order': 14, 'ord': 14, 'match_id': 6579931950}, {'is_pick': True, 'hero_id': 21, 'team': 0, 'order': 15, 'ord': 15, 'match_id': 6579931950}, {'is_pick': True, 'hero_id': 110, 'team': 0, 'order': 16, 'ord': 16, 'match_id': 6579931950}, {'is_pick': True, 'hero_id': 128, 'team': 1, 'order': 17, 'ord': 17, 'match_id': 6579931950}, {'is_pick': False, 'hero_id': 1, 'team': 0, 'order': 18, 'ord': 18, 'match_id': 6579931950}, {'is_pick': False, 'hero_id': 13, 'team': 1, 'order': 19, 'ord': 19, 'match_id': 6579931950}, {'is_pick': False, 'hero_id': 46, 'team': 0, 'order': 20, 'ord': 20, 'match_id': 6579931950}, {'is_pick': False, 'hero_id': 106, 'team': 1, 'order': 21, 'ord': 21, 'match_id': 6579931950}, {'is_pick': True, 'hero_id': 126, 'team': 0, 'order': 22, 'ord': 22, 'match_id': 6579931950}, {'is_pick': True, 'hero_id': 41, 'team': 1, 'order': 23, 'ord': 23, 'match_id': 6579931950}]"
